Artist,Title,Year,URL,backcol
Oimara,Wackelkontakt,2024,https://www.youtube.com/watch?v=1SXQfd8f-o0,
Rosé / Bruno Mars,APT.,2024,https://www.youtube.com/watch?v=ekr2nIex040,
Zartmann,Tau mich auf,2025,https://www.youtube.com/watch?v=mRsfUm8YpTc,
Alex Warren,Ordinary,2025,https://www.youtube.com/watch?v=byxFUKxhT3s,
Huntr/X / Ejae / Audrey Nuna / Rei Ami / KPop Demon Hunters Cast,Golden,2025,https://www.youtube.com/watch?v=yebNIHKAC4A,
Linkin Park,The Emptiness Machine,2024,https://www.youtube.com/watch?v=SRXH9AbT280,
Jazeek,Akon,2025,https://www.youtube.com/watch?v=eZlFOSbgDlo,
Gracie Abrams,That's So True,2024,https://www.youtube.com/watch?v=G_lNBrDJQC8,
WizTheMc x Bees & Honey,Show Me Love,2025,https://www.youtube.com/watch?v=Z3aduh5fxCo,
Lola Young,Messy,2024,https://www.youtube.com/watch?v=k-k2_Liofy8,
Lady Gaga & Bruno Mars,Die With A Smile,2024,https://www.youtube.com/watch?v=kPa7bsKwL-c,
Nina Chuba,Fata Morgana,2024,https://www.youtube.com/watch?v=ZMocW1Esxk4,
Artemas,I Like The Way You Kiss Me,2024,https://www.youtube.com/watch?v=evJ6gX1lp2o,
Ayliva x Apache 207,Wunder,2024,https://www.youtube.com/watch?v=m6bf0ItI2-8,
Benson Boone,Beautiful Things,2024,https://www.youtube.com/watch?v=Oa_RSwwpPaA,
Cyril,Stumblin' In,2023,https://www.youtube.com/watch?v=d5wURLqNTXE,
Bennett,Vois sur ton chemin,2023,https://www.youtube.com/watch?v=f4gODZFkTJg,
Cassö / Raye / D-Block Europe,Prada,2023,https://www.youtube.com/watch?v=zFMYL0XQ3lA,
"$oho Bani, Herbert Grönemeyer, Ericson","Zeit, dass sich was dreht",2024,https://www.youtube.com/watch?v=GwTveAHmDp8,
Mark Ambor,Belong Together,2024,https://www.youtube.com/watch?v=xPWnNFF-TAw,
Ofenbach feat. Norma Jean Martine,Overdrive,2023,https://www.youtube.com/watch?v=1sM89qLmd9Y,
Tate McRae,Greedy,2023,https://www.youtube.com/watch?v=UTmZqY_arzk,
Teddy Swims,Lose Control,2023,https://www.youtube.com/watch?v=QvvhiIevsX8,
Udo Lindenberg & Apache 207,Komet,2023,https://www.youtube.com/watch?v=LEvlLtGYPwk,
Miley Cyrus,Flowers,2023,https://www.youtube.com/watch?v=G7KNmW9a75Y,
Ayliva feat. Mero,Sie weiß,2023,https://www.youtube.com/watch?v=inQJEetHQ1M,
David Guetta & Bebe Rexha,I'm Good (Blue),2022,https://www.youtube.com/watch?v=90RLzVUuXe4,
Peter Fox feat. Inéz,Zukunft Pink,2022,https://www.youtube.com/watch?v=WXlqCEJ9QZk,
Miksu / MacLoud / Makko,Nachts wach,2022,https://www.youtube.com/watch?v=hqznO-babNE,
SIRA / Badchieff / Bausa,9 bis 9,2023,https://www.youtube.com/watch?v=Air9tGk6wFM,
Yung Yury & Damn Yury,Tabu.,2023,https://www.youtube.com/watch?v=pV67OF8D8ps,
Tom Odell,Another Love,2012,https://www.youtube.com/watch?v=MwpMEbgC7DA,
Eminem,Mockingbird,2005,https://www.youtube.com/watch?v=S9bCLPwzSC0,
"Ski Aggu, Joost & Otto Waalkes",Friesenjung,2023,https://www.youtube.com/watch?v=k9v93zJ1yXo,
DJ Robin & Schürze,Layla,2022,https://www.youtube.com/watch?v=vQIIpesCiew,
Glass Animals,Heat Waves,2020,https://www.youtube.com/watch?v=rfTgO9rpqck,
Luciano,Beautiful Girl,2022,https://www.youtube.com/watch?v=BWUR1e6fMtw,
Gayle,abcdefu,2021,https://www.youtube.com/watch?v=NaFd8ucHLuo,
Ed Sheeran,Shivers,2021,https://www.youtube.com/watch?v=z2_Lrg6rRks,
Harry Styles,As It Was,2022,https://www.youtube.com/watch?v=Qfm6nfz1QNQ,
Lost Frequencies / Calum Scott,Where Are You Now,2021,https://www.youtube.com/watch?v=k7Q2kt_MZRk,
Miksu / MacLoud & T-Low,Sehnsucht,2022,https://www.youtube.com/watch?v=XQd6YzS1Ydg,
Elton John & Dua Lipa,Cold Heart,2021,https://www.youtube.com/watch?v=oGZ1PVwJyPQ,
Nina Chuba,Wildberry Lillet,2022,https://www.youtube.com/watch?v=YScncKo0yRY,
Nathan Evans,Wellerman,2021,https://www.youtube.com/watch?v=qP-7GNoDJ5c,
Ed Sheeran,Bad Habits,2021,https://www.youtube.com/watch?v=orJSJGHjBLI,
Tiësto,The Business,2020,https://www.youtube.com/watch?v=wJS9eb6_o00,
Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),2021,https://www.youtube.com/watch?v=-BkcictxDCA,
The Weeknd,Save Your Tears,2020,https://www.youtube.com/watch?v=u6lihZAcy4s,
The Kid Laroi / Justin Bieber,Stay,2021,https://www.youtube.com/watch?v=yWHrYNP6j4k,
Shouse,Love Tonight,2021,https://www.youtube.com/watch?v=-d72XNa4yIM,
atb x Topic x A7S,Your Love (9PM),2021,https://www.youtube.com/watch?v=pk1btLJQjTw,
Olivia Rodrigo,Good 4 U,2021,https://www.youtube.com/watch?v=tmIO0eSAXrw,
Bausa feat. Apache 207,Madonna,2021,https://www.youtube.com/watch?v=dKhBE_no8d8,
The Weeknd,Blinding Lights,2019,https://www.youtube.com/watch?v=fHI8X4OXluQ,
SAINt JHN,Roses (Imanbek Remix),2019,https://www.youtube.com/watch?v=ele2DMU49Jk,
Topic feat. A7S,Breaking Me,2019,https://www.youtube.com/watch?v=_IWxwbyDIws,
Ufo361,Emotions,2020,https://www.youtube.com/watch?v=uSXzme--hvM,
Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat),2020,https://www.youtube.com/watch?v=mUuyEX2M0gc,
DaBaby feat. Roddy Ricch,Rockstar,2020,https://www.youtube.com/watch?v=83xBPCw5hh4,
Regard,Ride It,2019,https://www.youtube.com/watch?v=LoSm6VkplJc,
Apache 207,Fame,2020,https://www.youtube.com/watch?v=YPuUpulF1ag,
Lil Nas X,Old Town Road,2018,https://www.youtube.com/watch?v=r7qovpFAGrQ,
Tones And I,Dance Monkey,2019,https://www.youtube.com/watch?v=1__CAdTJ5JU,
